date,ticker,iv,hv,source
2025-08-19,AAPL,0.23008512,0.24946789,ibkr
2025-08-20,AAPL,0.23449823,0.2482138,ibkr
2025-08-21,AAPL,0.23792712,0.24738833,ibkr
2025-08-22,AAPL,0.22494178,0.2475947,ibkr
2025-08-25,AAPL,0.23691116,0.24708671,ibkr
2025-08-26,AAPL,0.23957807,0.24832493,ibkr
2025-08-27,AAPL,0.23699053,0.24592788,ibkr
2025-08-28,AAPL,0.22995812,0.24727721,ibkr
2025-08-29,AAPL,0.22308446,0.24680097,ibkr
2025-09-02,AAPL,0.23867323,0.24837255,ibkr
2025-09-03,AAPL,0.21760775,0.26665998,ibkr
2025-09-04,AAPL,0.21200405,0.26653299,ibkr
2025-09-05,AAPL,0.20581299,0.26681873,ibkr
2025-09-08,AAPL,0.21351213,0.26785057,ibkr
2025-09-09,AAPL,0.22148113,0.27086673,ibkr
2025-09-10,AAPL,0.23381563,0.27345427,ibkr
2025-09-11,AAPL,0.21398837,0.27159696,ibkr
2025-09-12,AAPL,0.21848085,0.27223194,ibkr
2025-09-15,AAPL,0.22270347,0.25554783,ibkr
2025-09-16,AAPL,0.22279872,0.24976951,ibkr
2025-09-17,AAPL,0.21282953,0.24876941,ibkr
2025-09-18,AAPL,0.21778237,0.2388161,ibkr
2025-09-19,AAPL,0.21709977,0.23043436,ibkr
2025-09-22,AAPL,0.23649842,0.22129064,ibkr
2025-09-23,AAPL,0.23056135,0.21819511,ibkr
2025-09-24,AAPL,0.22427505,0.21829036,ibkr
2025-09-25,AAPL,0.23481572,0.21768713,ibkr
2025-09-26,AAPL,0.23124396,0.21870309,ibkr
2025-09-29,AAPL,0.24916628,0.2154012,ibkr
2025-09-30,AAPL,0.25334127,0.21508371,ibkr
2025-10-01,AAPL,0.26408831,0.21506783,ibkr
2025-10-02,AAPL,0.26183413,0.21584568,ibkr
2025-10-03,AAPL,0.25926246,0.21927458,ibkr
2025-10-06,AAPL,0.27462899,0.21867135,ibkr
2025-10-07,AAPL,0.26797757,0.21694102,ibkr
2025-10-08,AAPL,0.26512016,0.21400424,ibkr
2025-10-09,AAPL,0.27251768,0.21495671,ibkr
2025-10-10,AAPL,0.30453656,0.22495765,ibkr
2025-10-13,AAPL,0.2853284,0.2315932,ibkr
2025-10-14,AAPL,0.29547221,0.22889453,ibkr
2025-10-15,AAPL,0.29564683,0.20974987,ibkr
2025-10-16,AAPL,0.3098069,0.21103571,ibkr
2025-10-17,AAPL,0.29009076,0.21343276,ibkr
2025-10-20,AAPL,0.28666186,0.22148113,ibkr
2025-10-21,AAPL,0.27662917,0.21871897,ibkr
2025-10-22,AAPL,0.28318535,0.2194492,ibkr
2025-10-23,AAPL,0.26507253,0.21979844,ibkr
2025-10-24,AAPL,0.26099278,0.22129064,ibkr
2025-10-27,AAPL,0.26837443,0.21889359,ibkr
2025-10-28,AAPL,0.25794488,0.21529008,ibkr
2025-10-29,AAPL,0.26578689,0.21659179,ibkr
2025-10-30,AAPL,0.2564368,0.21887771,ibkr
2025-10-31,AAPL,0.21989368,0.22356069,ibkr
2025-11-03,AAPL,0.22494178,0.21987781,ibkr
2025-11-04,AAPL,0.22718008,0.21984606,ibkr
2025-11-05,AAPL,0.22165575,0.22063978,ibkr
2025-11-06,AAPL,0.2297835,0.22244948,ibkr
2025-11-07,AAPL,0.23110109,0.22210024,ibkr
2025-11-10,AAPL,0.22678322,0.22637048,ibkr
2025-11-11,AAPL,0.22027467,0.22703721,ibkr
2025-11-12,AAPL,0.22190975,0.22671972,ibkr
2025-11-13,AAPL,0.23994319,0.22668797,ibkr
2025-11-14,AAPL,0.22935489,0.22800556,ibkr
2025-11-17,AAPL,0.24527702,0.23187894,ibkr
2025-11-18,AAPL,0.24913453,0.23595868,ibkr
2025-11-19,AAPL,0.24680097,0.24094328,ibkr
2025-11-20,AAPL,0.26307234,0.24913453,ibkr
2025-11-21,AAPL,0.24040355,0.24195925,ibkr
2025-11-24,AAPL,0.21805224,0.23716515,ibkr
2025-11-25,AAPL,0.20970225,0.23733977,ibkr
2025-11-26,AAPL,0.197717,0.23473635,ibkr
2025-11-28,AAPL,0.19732013,0.23306952,ibkr
2025-12-01,AAPL,0.20443191,0.23360926,ibkr
2025-12-02,AAPL,0.2000823,0.22551326,ibkr
2025-12-03,AAPL,0.19608192,0.22681497,ibkr
2025-12-04,AAPL,0.19574856,0.22443379,ibkr
2025-12-05,AAPL,0.1878113,0.22373531,ibkr
2025-12-08,AAPL,0.19924095,0.22152876,ibkr
2025-12-09,AAPL,0.19562156,0.22041754,ibkr
2025-12-10,AAPL,0.18917651,0.22133826,ibkr
2025-12-11,AAPL,0.18689058,0.22295746,ibkr
2025-12-12,AAPL,0.18970037,0.21819511,ibkr
2025-12-15,AAPL,0.19425635,0.20986099,ibkr
2025-12-16,AAPL,0.18870028,0.20906727,ibkr
2025-12-17,AAPL,0.19278002,0.20890852,ibkr
2025-12-18,AAPL,0.19339913,0.21217867,ibkr
2025-12-19,AAPL,0.18512851,0.20976575,ibkr
2025-12-22,AAPL,0.17749287,0.20708296,ibkr
2025-12-23,AAPL,0.17265115,0.20247935,ibkr
2025-12-24,AAPL,0.16768243,0.20165387,ibkr
2025-12-26,AAPL,0.18412842,0.20046329,ibkr
2025-12-29,AAPL,0.21024198,0.19811386,ibkr
2025-12-30,AAPL,0.21276603,0.19214504,ibkr
2025-12-31,AAPL,0.21854435,0.185319,ibkr
2026-01-02,AAPL,0.22868816,0.19112907,ibkr
2026-01-05,AAPL,0.24029243,0.18728744,ibkr
2026-01-06,AAPL,0.24949964,0.17611179,ibkr
2026-01-07,AAPL,0.25835762,0.17206379,ibkr
2026-01-08,AAPL,0.27234306,0.17484183,ibkr
2026-01-09,AAPL,0.25696066,0.17382586,ibkr
2026-01-12,AAPL,0.26619962,0.17603242,ibkr
2026-01-13,AAPL,0.26942215,0.17704839,ibkr
2026-01-14,AAPL,0.2660885,0.17725475,ibkr
2026-01-15,AAPL,0.26508841,0.17725475,ibkr
2026-01-16,AAPL,0.26199288,0.17569905,ibkr
2026-01-20,AAPL,0.31456925,0.19293877,ibkr
2026-01-21,AAPL,0.28705873,0.20024104,ibkr
2026-01-22,AAPL,0.2807248,0.20054266,ibkr
2026-01-23,AAPL,0.28202651,0.20343182,ibkr
2026-01-26,AAPL,0.28124866,0.21119445,ibkr
2026-01-27,AAPL,0.27264467,0.21314702,ibkr
2026-01-28,AAPL,0.28193126,0.21517895,ibkr
2026-01-29,AAPL,0.29815501,0.21582981,ibkr
2026-01-30,AAPL,0.24075279,0.22824367,ibkr
2026-02-02,AAPL,0.22397343,0.23330764,ibkr
2026-02-03,AAPL,0.23708577,0.22960888,ibkr
2026-02-04,AAPL,0.23883197,0.23273616,ibkr
2026-02-05,AAPL,0.25829412,0.2363238,ibkr
2026-02-06,AAPL,0.23098996,0.23754614,ibkr
2026-02-09,AAPL,0.23445061,0.24048292,ibkr
2026-02-10,AAPL,0.22464016,0.24035592,ibkr
2026-02-11,AAPL,0.22878341,0.24375307,ibkr
2026-02-12,AAPL,0.27494648,0.25421437,ibkr
2026-02-13,AAPL,0.27551796,0.25591294,ibkr
2026-02-17,AAPL,0.26145314,0.25946883,ibkr
2026-02-18,AAPL,0.25561133,0.25935771,ibkr
2026-02-19,AAPL,0.26367558,0.26051655,ibkr
2026-02-20,AAPL,0.24735658,0.26221512,ibkr
2026-02-23,AAPL,0.25937358,0.26218337,ibkr
2026-02-24,AAPL,0.25738927,0.26494554,ibkr
2026-02-25,AAPL,0.24456267,0.26380257,ibkr
2026-02-26,AAPL,0.24287997,0.2651519,ibkr
2026-02-27,AAPL,0.25850049,0.26605675,ibkr
2026-03-02,AAPL,0.26994601,0.26940627,ibkr
2026-03-03,AAPL,0.27691492,0.2716922,ibkr
2026-03-04,AAPL,0.26907291,0.25916722,ibkr
2026-03-05,AAPL,0.27824837,0.25577007,ibkr
2026-03-06,AAPL,0.29385302,0.25708765,ibkr
2026-03-09,AAPL,0.27275579,0.25984982,ibkr
2026-03-10,AAPL,0.26667586,0.25642093,ibkr
2026-03-11,AAPL,0.26467567,0.25208718,ibkr
2026-03-12,AAPL,0.28288373,0.25294441,ibkr
2026-03-13,AAPL,0.29296404,0.25203956,ibkr
2026-03-16,AAPL,0.26375495,0.24238786,ibkr
2026-03-17,AAPL,0.24430868,0.23702228,ibkr
2026-03-18,AAPL,0.26896179,0.2394987,ibkr
2026-03-19,AAPL,0.25708765,0.23702228,ibkr
2026-03-20,AAPL,0.27420037,0.23402199,ibkr
2026-03-23,AAPL,0.2540715,0.24388006,ibkr
2026-03-24,AAPL,0.26470742,0.24394356,ibkr
2026-03-25,AAPL,0.26524715,0.24630886,ibkr
2026-03-26,AAPL,0.27934371,0.24762645,ibkr
2026-03-27,AAPL,0.30982277,0.24140364,ibkr
2026-03-30,AAPL,0.32488768,0.24251486,ibkr
2026-03-31,AAPL,0.29428163,0.2361333,ibkr
2026-04-01,AAPL,0.29080511,0.23462523,ibkr
2026-04-02,AAPL,0.2878842,0.23611743,ibkr
2026-04-06,AAPL,,0.23676828,ibkr
2026-04-07,AAPL,0.3217604,0.2490234,ibkr
2026-04-08,AAPL,0.28842393,0.25167445,ibkr
2026-04-09,AAPL,0.28205826,0.25343652,ibkr
2026-04-10,AAPL,0.27731178,0.25178557,ibkr
2026-04-13,AAPL,0.28809057,0.24864242,ibkr
2026-04-14,AAPL,0.29332916,0.24629299,ibkr
2026-04-15,AAPL,0.29467849,0.24534052,ibkr
2026-04-16,AAPL,0.28534428,0.24602312,ibkr
2026-04-17,AAPL,0.2740575,0.24869004,ibkr
2026-04-20,AAPL,0.28305835,0.24680097,ibkr
2026-04-21,AAPL,0.29155121,0.24495953,ibkr
2026-04-22,AAPL,0.27534334,0.24440392,ibkr
2026-04-23,AAPL,0.26794582,0.24605487,ibkr
2026-04-24,AAPL,0.27300979,0.24395944,ibkr
2026-04-27,AAPL,0.28018506,0.2476582,ibkr
2026-04-28,AAPL,0.26951739,0.25184907,ibkr
2026-04-29,AAPL,0.27377176,0.25438899,ibkr
2026-04-30,AAPL,0.27332728,0.25670667,ibkr
2026-05-01,AAPL,0.2234337,0.27347015,ibkr
2026-05-04,AAPL,0.2281008,0.27469248,ibkr
2026-05-05,AAPL,0.23264091,0.26659649,ibkr
2026-05-06,AAPL,0.22962476,0.26635837,ibkr
2026-05-07,AAPL,0.22595774,0.26780295,ibkr
2026-05-08,AAPL,0.22851354,0.26561227,ibkr
2026-05-11,AAPL,0.24073691,0.26251674,ibkr
2026-05-12,AAPL,0.23587931,0.25986569,ibkr
2026-05-13,AAPL,0.2442293,0.25715115,ibkr
2026-05-14,AAPL,0.23997494,0.25869098,ibkr
2026-05-15,AAPL,0.23337114,0.25834174,ibkr
2026-05-18,AAPL,0.23365688,0.25746864,ibkr
2026-05-19,AAPL,0.22738645,0.24310221,ibkr
2026-05-20,AAPL,0.23018036,0.23624443,ibkr
2026-05-21,AAPL,0.22146526,0.23475222,ibkr
2026-05-22,AAPL,0.21298827,0.23600631,ibkr
2026-05-26,AAPL,0.22010005,0.23583169,ibkr
2026-05-27,AAPL,0.21665528,0.23468872,ibkr
2026-05-28,AAPL,0.21692515,0.23218055,ibkr
2026-05-29,AAPL,0.21200405,0.23167257,ibkr
2026-06-01,AAPL,0.23057723,0.22919614,ibkr
2026-06-02,AAPL,0.23660954,0.23110109,ibkr
2026-06-03,AAPL,0.24459442,0.23156145,ibkr
2026-06-04,AAPL,0.23333939,0.23051373,ibkr
2026-06-05,AAPL,0.24726133,0.2321488,ibkr
2026-06-08,AAPL,0.24275297,0.25148395,ibkr
2026-06-09,AAPL,0.24716609,0.25421437,ibkr
2026-06-10,AAPL,0.24607075,0.25227768,ibkr
2026-06-11,AAPL,0.23048198,0.25467473,ibkr
2026-06-12,AAPL,0.22594187,0.25148395,ibkr
2026-06-15,AAPL,0.21584568,0.23540308,ibkr
2026-06-16,AAPL,0.21238504,,ibkr
2026-06-08,AAPL,0.2687,0.2104,yf
2026-06-10,AAPL,0.2675,0.237,yf
2026-06-12,AAPL,0.2449,0.2432,yf
2026-06-13,AAPL,0.2454,0.2432,yf
2026-06-14,AAPL,0.2523,0.2432,yf
2026-06-15,AAPL,0.2419,0.2322,yf
2025-06-17,ABBV,0.26270723,0.25189669,ibkr
2025-06-18,ABBV,0.25154745,0.24380069,ibkr
2025-06-20,ABBV,0.25877035,0.24278472,ibkr
2025-06-23,ABBV,0.27886748,0.23206943,ibkr
2025-06-24,ABBV,0.25532558,0.22617999,ibkr
2025-06-25,ABBV,0.25721465,0.21208343,ibkr
2025-06-26,ABBV,0.25932596,0.20989274,ibkr
2025-06-27,ABBV,0.25651617,0.19716139,ibkr
2025-06-30,ABBV,0.2565003,0.19612954,ibkr
2025-07-01,ABBV,0.26438993,0.2048129,ibkr
2025-07-02,ABBV,0.26727909,0.20430492,ibkr
2025-07-03,ABBV,0.26719972,0.20316195,ibkr
2025-07-07,ABBV,0.28618563,0.20595587,ibkr
2025-07-08,ABBV,0.27893098,0.21221042,ibkr
2025-07-09,ABBV,0.27828012,0.21251204,ibkr
2025-07-10,ABBV,0.27345427,0.22184625,ibkr
2025-07-11,ABBV,0.27153346,0.22176687,ibkr
2025-07-14,ABBV,0.28393145,0.22070328,ibkr
2025-07-15,ABBV,0.29347203,0.22313208,ibkr
2025-07-16,ABBV,0.29158296,0.22284634,ibkr
2025-07-17,ABBV,0.28577289,0.22178275,ibkr
2025-07-18,ABBV,0.27961358,0.22143351,ibkr
2025-07-21,ABBV,0.29002726,0.2208144,ibkr
2025-07-22,ABBV,0.286138,0.22114777,ibkr
2025-07-23,ABBV,0.28661424,0.22098902,ibkr
2025-07-24,ABBV,0.28224875,0.22016355,ibkr
2025-07-25,ABBV,0.27297804,0.21962382,ibkr
2025-07-28,ABBV,0.26908878,0.21198818,ibkr
2025-07-29,ABBV,0.27150171,0.2137185,ibkr
2025-07-30,ABBV,0.30431432,0.21636954,ibkr
2025-07-31,ABBV,0.23819699,0.24883291,ibkr
2025-08-01,ABBV,0.23726039,0.25346827,ibkr
2025-08-04,ABBV,0.22965651,0.2533254,ibkr
2025-08-05,ABBV,0.22287809,0.25261104,ibkr
2025-08-06,ABBV,0.21870309,0.25356351,ibkr
2025-08-07,ABBV,0.21694102,0.25396038,ibkr
2025-08-08,ABBV,0.2041303,0.25315078,ibkr
2025-08-11,ABBV,0.21487734,0.25011875,ibkr
2025-08-12,ABBV,0.20455891,0.24924565,ibkr
2025-08-13,ABBV,0.19622479,0.24176875,ibkr
2025-08-14,ABBV,0.19784399,0.24240374,ibkr
2025-08-15,ABBV,0.18701758,0.24345145,ibkr
2025-08-18,ABBV,0.18801767,0.24016543,ibkr
2025-08-19,ABBV,0.19304989,0.23348226,ibkr
2025-08-20,ABBV,0.19478021,0.23606981,ibkr
2025-08-21,ABBV,0.19358962,0.22818018,ibkr
2025-08-22,ABBV,0.17911207,0.22986287,ibkr
2025-08-25,ABBV,0.19082746,0.23016449,ibkr
2025-08-26,ABBV,0.1950977,0.22529102,ibkr
2025-08-27,ABBV,0.19125607,0.22338607,ibkr
2025-08-28,ABBV,0.18523963,0.22176687,ibkr
2025-08-29,ABBV,0.18196948,0.22032229,ibkr
2025-09-02,ABBV,0.19573268,0.21941745,ibkr
2025-09-03,ABBV,0.19520882,0.21841735,ibkr
2025-09-04,ABBV,0.1910497,0.21789349,ibkr
2025-09-05,ABBV,0.18598573,0.21921108,ibkr
2025-09-08,ABBV,0.19581205,0.22046517,ibkr
2025-09-09,ABBV,0.19878059,0.21854435,ibkr
2025-09-10,ABBV,0.20247935,0.21649654,ibkr
2025-09-11,ABBV,0.19717726,0.24359432,ibkr
2025-09-12,ABBV,0.19122432,0.20359056,ibkr
2025-09-15,ABBV,0.19971718,0.20086015,ibkr
2025-09-16,ABBV,0.20740045,0.19965369,ibkr
2025-09-17,ABBV,0.20651147,0.20344769,ibkr
2025-09-18,ABBV,0.1992727,0.20086015,ibkr
2025-09-19,ABBV,0.18858915,0.1998918,ibkr
2025-09-22,ABBV,0.19673278,0.20017754,ibkr
2025-09-23,ABBV,0.20801955,0.1998918,ibkr
2025-09-24,ABBV,0.20789256,0.1999553,ibkr
2025-09-25,ABBV,0.21662353,0.20178087,ibkr
2025-09-26,ABBV,0.21498846,0.20363819,ibkr
2025-09-29,ABBV,0.23829224,0.20286034,ibkr
2025-09-30,ABBV,0.23821287,0.20776556,ibkr
2025-10-01,ABBV,0.27200969,0.21590918,ibkr
2025-10-02,ABBV,0.27689904,0.22371944,ibkr
2025-10-03,ABBV,0.27791501,0.22440204,ibkr
2025-10-06,ABBV,0.27440674,0.22598949,ibkr
2025-10-07,ABBV,0.28110579,0.23033911,ibkr
2025-10-08,ABBV,0.27918497,0.23210118,ibkr
2025-10-09,ABBV,0.2789151,0.23286316,ibkr
2025-10-10,ABBV,0.28829694,0.23446648,ibkr
2025-10-13,ABBV,0.28264561,0.23711752,ibkr
2025-10-14,ABBV,0.27740702,0.23880022,ibkr
2025-10-15,ABBV,0.27629581,0.24092741,ibkr
2025-10-16,ABBV,0.29375777,0.24080041,ibkr
2025-10-17,ABBV,0.27977233,0.2401813,ibkr
2025-10-20,ABBV,0.27321615,0.23840336,ibkr
2025-10-21,ABBV,0.26499316,0.23935583,ibkr
2025-10-22,ABBV,0.26392957,0.23821287,ibkr
2025-10-23,ABBV,0.26872367,0.20705121,ibkr
2025-10-24,ABBV,0.25653205,0.20767031,ibkr
2025-10-27,ABBV,0.25446836,0.20214598,ibkr
2025-10-28,ABBV,0.25653205,0.20457478,ibkr
2025-10-29,ABBV,0.26389782,0.20000292,ibkr
2025-10-30,ABBV,0.2726923,0.20276509,ibkr
2025-10-31,ABBV,0.22408455,0.21503608,ibkr
2025-11-03,ABBV,0.22902152,0.21906821,ibkr
2025-11-04,ABBV,0.23046611,0.22044929,ibkr
2025-11-05,ABBV,0.22697371,0.22273522,ibkr
2025-11-06,ABBV,0.22878341,0.221624,ibkr
2025-11-07,ABBV,0.23173607,0.21997306,ibkr
2025-11-10,ABBV,0.23051373,0.22289396,ibkr
2025-11-11,ABBV,0.22395756,0.21949682,ibkr
2025-11-12,ABBV,0.22803731,0.21511546,ibkr
2025-11-13,ABBV,0.2404353,0.2112262,ibkr
2025-11-14,ABBV,0.23400612,0.21182943,ibkr
2025-11-17,ABBV,0.24800744,0.21225804,ibkr
2025-11-18,ABBV,0.24970601,0.2079878,ibkr
2025-11-19,ABBV,0.25705591,0.21609968,ibkr
2025-11-20,ABBV,0.26539002,0.21949682,ibkr
2025-11-21,ABBV,0.24803919,0.22225898,ibkr
2025-11-24,ABBV,0.24440392,0.22737058,ibkr
2025-11-25,ABBV,0.2322123,0.22606887,ibkr
2025-11-26,ABBV,0.22703721,0.22608474,ibkr
2025-11-28,ABBV,0.22154463,0.22622761,ibkr
2025-12-01,ABBV,0.22784681,0.22914852,ibkr
2025-12-02,ABBV,0.22864054,0.23002162,ibkr
2025-12-03,ABBV,0.22378294,0.23094234,ibkr
2025-12-04,ABBV,0.22171925,0.23127571,ibkr
2025-12-05,ABBV,0.22319558,0.23183131,ibkr
2025-12-08,ABBV,0.23224405,0.23192656,ibkr
2025-12-09,ABBV,0.22913265,0.23529196,ibkr
2025-12-10,ABBV,0.23583169,0.23919708,ibkr
2025-12-11,ABBV,0.23492684,0.2394352,ibkr
2025-12-12,ABBV,0.22983112,0.23840336,ibkr
2025-12-15,ABBV,0.24029243,0.2282913,ibkr
2025-12-16,ABBV,0.2371334,0.22587837,ibkr
2025-12-17,ABBV,0.24005431,0.22548151,ibkr
2025-12-18,ABBV,0.23553007,0.22313208,ibkr
2025-12-19,ABBV,0.22524339,0.22843417,ibkr
2025-12-22,ABBV,0.22279872,0.22857704,ibkr
2025-12-23,ABBV,0.22446554,0.22568788,ibkr
2025-12-24,ABBV,0.22198912,0.22402106,ibkr
2025-12-26,ABBV,0.23391087,0.21962382,ibkr
2025-12-29,ABBV,0.24638824,0.21171831,ibkr
2025-12-30,ABBV,0.24599137,0.20860691,ibkr
2025-12-31,ABBV,0.25119821,0.20239998,ibkr
2026-01-02,ABBV,0.25299203,0.20359056,ibkr
2026-01-05,ABBV,0.27607357,0.20446366,ibkr
2026-01-06,ABBV,0.28089942,0.19974893,ibkr
2026-01-07,ABBV,0.30963228,0.21113095,ibkr
2026-01-08,ABBV,0.30104417,0.21221042,ibkr
2026-01-09,ABBV,0.2974724,0.21513133,ibkr
2026-01-12,ABBV,0.29272593,0.2153377,ibkr
2026-01-13,ABBV,0.29128134,0.21871897,ibkr
2026-01-14,ABBV,0.29139247,0.22121127,ibkr
2026-01-15,ABBV,0.27929609,0.22381469,ibkr
2026-01-16,ABBV,0.28035968,0.22395756,ibkr
2026-01-20,ABBV,0.29269418,0.22737058,ibkr
2026-01-21,ABBV,0.28553477,0.23173607,ibkr
2026-01-22,ABBV,0.2750576,0.23283141,ibkr
2026-01-23,ABBV,0.27953421,0.23151382,ibkr
2026-01-26,ABBV,0.28332822,0.22495765,ibkr
2026-01-27,ABBV,0.28597926,0.22837067,ibkr
2026-01-28,ABBV,0.28839218,0.23275203,ibkr
2026-01-29,ABBV,0.29404351,0.2370699,ibkr
2026-01-30,ABBV,0.2886938,0.23618093,ibkr
2026-02-02,ABBV,0.29259893,0.24027655,ibkr
2026-02-03,ABBV,0.30879093,0.24278472,ibkr
2026-02-04,ABBV,0.2629136,0.38352811,ibkr
2026-02-05,ABBV,0.27689904,0.38462345,ibkr
2026-02-06,ABBV,0.25053148,0.38757611,ibkr
2026-02-09,ABBV,0.2603578,0.38854445,ibkr
2026-02-10,ABBV,0.2532619,0.38962392,ibkr
2026-02-11,ABBV,0.26092929,0.39260833,ibkr
2026-02-12,ABBV,0.26921578,0.39610072,ibkr
2026-02-13,ABBV,0.26429468,0.39921212,ibkr
2026-02-17,ABBV,0.26351683,0.3992915,ibkr
2026-02-18,ABBV,0.26242149,0.39759292,ibkr
2026-02-19,ABBV,0.27675617,0.39949786,ibkr
2026-02-20,ABBV,0.2588021,0.39178285,ibkr
2026-02-23,ABBV,0.27229543,0.38849683,ibkr
2026-02-24,ABBV,0.26940627,0.38654427,ibkr
2026-02-25,ABBV,0.26331046,0.38806822,ibkr
2026-02-26,ABBV,0.27085085,0.3895128,ibkr
2026-02-27,ABBV,0.26629487,0.38689351,ibkr
2026-03-02,ABBV,0.26840618,0.38683001,ibkr
2026-03-03,ABBV,0.27400988,0.38841746,ibkr
2026-03-04,ABBV,0.26569164,0.38727449,ibkr
2026-03-05,ABBV,0.28035968,0.38841746,ibkr
2026-03-06,ABBV,0.28543953,0.38930643,ibkr
2026-03-09,ABBV,0.28699523,0.39284645,ibkr
2026-03-10,ABBV,0.28177251,0.39502125,ibkr
2026-03-11,ABBV,0.28150265,0.3934973,ibkr
2026-03-12,ABBV,0.29340853,0.39311631,ibkr
2026-03-13,ABBV,0.3000917,0.39406878,ibkr
2026-03-16,ABBV,0.30374283,0.39446565,ibkr
2026-03-17,ABBV,0.28607451,0.39171936,ibkr
2026-03-18,ABBV,0.31302942,0.39373542,ibkr
2026-03-19,ABBV,0.31163246,0.25778613,ibkr
2026-03-20,ABBV,0.33001514,0.25765914,ibkr
2026-03-23,ABBV,0.31972846,0.25983394,ibkr
2026-03-24,ABBV,0.31815689,0.26211987,ibkr
2026-03-25,ABBV,0.31187058,0.26311997,ibkr
2026-03-26,ABBV,0.31548997,0.26172301,ibkr
2026-03-27,ABBV,0.33284081,0.258183,ibkr
2026-03-30,ABBV,0.33739679,0.25780201,ibkr
2026-03-31,ABBV,0.33506324,0.25800838,ibkr
2026-04-01,ABBV,0.32806258,0.25723053,ibkr
2026-04-02,ABBV,0.3482867,0.25810362,ibkr
2026-04-06,ABBV,0.35200134,0.25959583,ibkr
2026-04-07,ABBV,0.35530324,0.26051655,ibkr
2026-04-08,ABBV,0.32401458,0.26524715,ibkr
2026-04-09,ABBV,0.32542741,0.26416769,ibkr
2026-04-10,ABBV,0.33653957,0.2605483,ibkr
2026-04-13,ABBV,0.33684118,0.26391369,ibkr
2026-04-14,ABBV,0.32168103,0.26450105,ibkr
2026-04-15,ABBV,0.33399965,0.2635962,ibkr
2026-04-16,ABBV,0.33590459,0.26253261,ibkr
2026-04-17,ABBV,0.32087143,0.25908784,ibkr
2026-04-20,ABBV,0.3419369,0.25869098,ibkr
2026-04-21,ABBV,0.346858,0.25624631,ibkr
2026-04-22,ABBV,0.34533404,0.25602406,ibkr
2026-04-23,ABBV,0.34234964,0.2548811,ibkr
2026-04-24,ABBV,0.33860325,0.25340477,ibkr
2026-04-27,ABBV,0.346604,0.25335715,ibkr
2026-04-28,ABBV,0.33090412,0.25205544,ibkr
2026-04-29,ABBV,0.29807563,0.28450293,ibkr
2026-04-30,ABBV,0.27132709,0.29548809,ibkr
2026-05-01,ABBV,0.27494648,0.29310691,ibkr
2026-05-04,ABBV,0.28002632,0.29090036,ibkr
2026-05-05,ABBV,0.27666092,0.2854554,ibkr
2026-05-06,ABBV,0.26437405,0.28332822,ibkr
2026-05-07,ABBV,0.26624725,0.28358221,ibkr
2026-05-08,ABBV,0.26697747,0.28110579,ibkr
2026-05-11,ABBV,0.27532746,0.28061368,ibkr
